Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","192","Cuba","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","14.93","E","Estimated value",""
"FBS","Food Balances (2010-)","192","Cuba","671","Protein supply quantity (t)","S2511","Wheat and products","2014","2014","t","61513.91","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","2.42","E","Estimated value",""
"FBS","Food Balances (2010-)","192","Cuba","681","Fat supply quantity (t)","S2511","Wheat and products","2014","2014","t","9972.56","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5611","Import quantity","S2511","Wheat and products","2015","2015","1000 t","863","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5072","Stock Variation","S2511","Wheat and products","2015","2015","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5911","Export quantity","S2511","Wheat and products","2015","2015","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5301","Domestic supply quantity","S2511","Wheat and products","2015","2015","1000 t","863","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5521","Feed","S2511","Wheat and products","2015","2015","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5527","Seed","S2511","Wheat and products","2015","2015","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5123","Losses","S2511","Wheat and products","2015","2015","1000 t","40","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5154","Other uses (non-food)","S2511","Wheat and products","2015","2015","1000 t","2","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5171","Tourist consumption","S2511","Wheat and products","2015","2015","1000 t","5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5170","Residuals","S2511","Wheat and products","2015","2015","1000 t","-10","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5142","Food","S2511","Wheat and products","2015","2015","1000 t","825","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2015","2015","kg/cap","73.15","E","Estimated value",""
"FBS","Food Balances (2010-)","192","Cuba","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","492.13","E","Estimated value",""
